202;...2;...3;...4;codes;category;scheme;pre1;pre2;pre3;phrase;feature;subst;ar;regex;repl;regexcor;test;version;regxmean
18;18;18;78;#90 art;2;9;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art;test3;v2_9;7
19;19;19;79;90 art.;2;9;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;90 art\.;test3;v2_9;7
20;20;20;NA;#90 art.#;2;1;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art\.#;test3;v2_9;9
21;21;21;NA;#90 art#;2;1;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art#;test3;v2_9;8
22;22;22;NA;#9 0 art#;2;1;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#9 0 art#;test3;v2_9;9
23;23;23;NA;#0 art#;2;1;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#0 art#;test3;v2_9;7
24;24;24;NA;#90 art?#;2;1;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art\?#;test3;v2_9;9
NA;NA;NA;NA;<#0AR#>;2;1;%;0;AR;zero;article;%0AR: zero article;3;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;<#0AR#>;NA;v2_9;NA
26;26;26;NA;#90 aux #;2;1;%;0;AU;zero;auxiliary;%0AU: zero auxiliary;4;(#90 aux #)|(#90 aux\?#)|(90 aux);%#%;#90 aux #;test3;v2_9;9
200;NA;NA;NA;#90 aux?#;2;1;%;0;AU;zero;auxiliary;%0AU: zero auxiliary;4;(#90 aux #)|(#90 aux\?#)|(90 aux);%#%;#90 aux\?#;NA;v2_9;9
30;30;30;58;90 cop.;2;9;%;0;CP;zero;copula;%0CP: zero copula;5;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#);%#%;90 cop\.;test3;v2_9;7
31;31;31;NA;#90 cop#;2;1;%;0;CP;zero;copula;%0CP: zero copula;5;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#);%#%;#90 cop#;test3;v2_9;8
32;32;32;NA;#90 cop?#;2;1;%;0;CP;zero;copula;%0CP: zero copula;5;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#);%#%;#90 cop\?#;test3;v2_9;9
33;33;33;NA;#9 0 cop#;2;1;%;0;CP;zero;copula;%0CP: zero copula;5;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#);%#%;#9 0 cop#;test3;v2_9;9
35;35;35;NA;#9 0 existential#;2;1;%;0;ES;zero;existential;%0ES: zero existential;6;(#9 0 existential#);%#%;#9 0 existential#;test3;v2_9;17
55;55;55;35;90 obj;2;9;%;0;OB;zero;object;%0OB: zero object;7;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;90 obj;test3;v2_9;6
56;56;56;121;90 obj;2;9;%;0;OB;zero;object;%0OB: zero object;7;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;90 obj;test3;v2_9;6
57;57;57;NA;#90 obj#;2;1;%;0;OB;zero;object;%0OB: zero object;7;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;#90 obj#;test3;v2_9;8
58;58;58;NA;#90 obj.#;2;1;%;0;OB;zero;object;%0OB: zero object;7;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;#90 obj\.#;test3;v2_9;9
NA;NA;NA;NA;<#0OB#>;2;1;%;0;OB;zero;object;%0OB: zero object;7;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;<#0OB#>;NA;v2_9;NA
92;92;92;104;9no pl/num.;2;9;%;0;PN;zero;plural/numeral;%0PN: zero plural/numeral;8;(9no pl/num\.)|(#9no pl/num#);%#%;9no pl/num\.;test3;v2_9;11
93;93;93;NA;#9no pl/num#;2;1;%;0;PN;zero;plural/numeral;%0PN: zero plural/numeral;8;(9no pl/num\.)|(#9no pl/num#);%#%;#9no pl/num#;test3;v2_9;12
95;95;95;NA;90 prep#;2;9;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;90 prep#;test3;v2_9;8
96;96;96;107;90 prep;2;9;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;90 prep;test3;v2_9;7
96;96;96;107;#90 prep;2;9;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep;test3;v2_9;8
97;97;97;NA;#90 prep#;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep#;test3;v2_9;9
98;98;98;NA;#90 prep #;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep #;test3;v2_9;NA
99;99;99;NA;#90 prep.#;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep\.#;test3;v2_9;10
99;99;99;NA;#90 prep#?;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;9;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep#\?;test3;v2_9;10
119;119;119;152;90 refl?@;2;9;%;0;RF;zero;reflexive;%0RF: zero reflexive;10;(90 refl\?@)|(#90 refl#);%#%;90 refl\?@;test3;v2_9;9
120;120;120;NA;#90 refl#;2;1;%;0;RF;zero;reflexive;%0RF: zero reflexive;10;(90 refl\?@)|(#90 refl#);%#%;#90 refl#;test3;v2_9;9
121;121;121;NA;#90 rel#;2;1;%;0;RL;zero;relative;%0RL: zero relative;11;(#90 rel#);%#%;#90 rel#;test3;v2_9;8
135;135;135;56;90 subj.;2;9;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;90 subj\.;test3;v2_9;8
136;136;136;64;9ck 0 subj.;2;9;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;9ck 0 subj\.;test3;v2_9;11
137;137;137;84;90 subj;2;9;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;90 subj;test3;v2_9;7
138;138;138;129;90 subj;2;9;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;90 subj;test3;v2_9;7
139;139;139;138;90 subj;2;9;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;90 subj;test3;v2_9;7
140;140;140;NA;#90 subj#;2;1;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;#90 subj#;test3;v2_9;9
141;141;141;NA;#90 subj;2;1;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;#90 subj;test3;v2_9;8
142;142;142;NA;#90 sub#;2;1;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;#90 sub#;test3;v2_9;8
143;143;143;NA;#9 0 subj#;2;1;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;#9 0 subj#;test3;v2_9;10
144;144;144;NA;#90 subj.#;2;1;%;0;SU;zero;subject;%0SU: zero subject;12;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\.#)|(90  subj);%#%;#90 subj\.#;test3;v2_9;NA
145;145;145;73;90 verb;2;9;%;0;VP;zero;VP;%0VP: zero VP;13;(90 verb)|(#90 verb#)|(<#0VP#>)|(90 verb);%#%;90 verb;test3;v2_9;7
146;146;146;NA;#90 verb#;2;1;%;0;VP;zero;VP;%0VP: zero VP;13;(90 verb)|(#90 verb#)|(<#0VP#>)|(90 verb);%#%;#90 verb#;test3;v2_9;9
NA;NA;NA;NA;<#0VP#>;2;1;%;0;VP;zero;VP;%0VP: zero VP;13;(90 verb)|(#90 verb#)|(<#0VP#>)|(90 verb);%#%;<#0VP#>;NA;v2_9;NA
59;59;59;59;9ck tape;3;9;%;C;OM;cmnt;check tape;%COM: cmnt check tape;14;(9ck tape)|(#check tape#);%#%;9ck tape;test3;v2_9;8
60;60;60;NA;#check tape#;3;1;%;C;OM;cmnt;check tape;%COM: cmnt check tape;14;(9ck tape)|(#check tape#);%#%;#check tape#;test3;v2_9;12
61;61;61;60;9besondere Form;3;9;%;C;OM;cmnt;form;%COM: cmnt form;15;(9besondere Form);%#%;9besondere Form;test3;v2_9;15
62;62;62;NA;#Gestik#;3;1;%;C;OM;cmnt;gesture;%COM: cmnt gesture;16;(#Gestik#);%#%;#Gestik#;test3;v2_9;8
63;63;63;NA;#innere Monolog#;3;1;%;C;OM;cmnt;inner monologue;%COM: cmnt inner monologue;17;(#innere Monolog#);%#%;#innere Monolog#;test3;v2_9;16
66;66;66;NA;#lachen#;3;1;%;C;OM;cmnt;laughter;%COM: cmnt laughter;18;(#lachen#)|(#Lachen#);%#%;#lachen#;test3;v2_9;8
67;67;67;NA;#Lachen#;3;1;%;C;OM;cmnt;laughter;%COM: cmnt laughter;18;(#lachen#)|(#Lachen#);%#%;#Lachen#;test3;v2_9;8
68;68;68;NA;#9misunderstand#;3;1;%;C;OM;cmnt;misunderstanding;%COM: cmnt misunderstanding;19;(#9misunderstand#)|(#9misunderstands#);%#%;#9misunderstand#;test3;v2_9;16
69;69;69;NA;#9misunderstands#;3;1;%;C;OM;cmnt;misunderstanding;%COM: cmnt misunderstanding;19;(#9misunderstand#)|(#9misunderstands#);%#%;#9misunderstands#;test3;v2_9;17
70;70;70;NA;"#minunderstands ""wann""?#";3;1;%;C;OM;cmnt;misunderstanding 'wann';%COM: cmnt misunderstanding 'wann';20;(#minunderstands .wann.\?#);%#%;#minunderstands .wann.\?#;test3;v2_9;NA
71;71;71;NA;"#misunderstands ""welchen""#";3;1;%;C;OM;cmnt;misunderstanding 'welchen';%COM: cmnt misunderstanding 'welchen';21;(#misunderstands .welchen.#);%#%;#misunderstands .welchen.#;test3;v2_9;NA
74;74;74;NA;#? #;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#\? #;test3;v2_9;4
75;75;75;NA;# ---#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;# ---#;test3;v2_9;6
76;76;76;NA;---#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;---#;test3;v2_9;4
77;77;77;NA;#grrrrrr#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#grrrrrr#;test3;v2_9;9
78;78;78;NA;#9…#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#9…#;test3;v2_9;4
79;79;79;NA;#...#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#\.\.\.#;test3;v2_9;5
80;80;80;NA;#9..#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;22;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#9\.\.#;test3;v2_9;5
81;81;81;63;9direct quote?@.;3;9;%;C;OM;cmnt;quote;%COM: cmnt quote;23;(9direct quote\?@\.);%#%;9direct quote\?@\.;test3;v2_9;16
82;82;82;NA;# unclear script#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;24;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;# unclear script#;test3;v2_9;17
82;82;82;NA;#unclear script#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;24;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;#unclear script#;test3;v2_9;16
82;82;82;NA;unclear script;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;24;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;unclear script;test3;v2_9;14
83;83;83;NA;#script unclear#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;24;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;#script unclear#;test3;v2_9;16
84;84;84;NA;#self-correction#;3;1;%;C;OM;cmnt;self-correction;%COM: cmnt self-correction;25;(#self-correction#);%#%;#self-correction#;test3;v2_9;17
85;85;85;NA;#Kopfschuetteln#;3;1;%;C;OM;cmnt;shakes head;%COM: cmnt shakes head;26;(#Kopfschuetteln#);%#%;#Kopfschuetteln#;test3;v2_9;16
86;86;86;NA;#zeigt auf Besen#;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;27;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);%#%;#zeigt auf Besen#;test3;v2_9;17
87;87;87;NA;#zeigt auf ihre Locken#;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;27;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);%#%;#zeigt auf ihre Locken#;test3;v2_9;23
88;88;88;NA;# zeigt #;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;27;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);%#%;# zeigt #;test3;v2_9;9
89;89;89;NA;# zeigt auf das Richtige#;3;1;%;C;OM;cmnt;showing correct;%COM: cmnt showing correct;28;(# zeigt auf das Richtige#);%#%;# zeigt auf das Richtige#;test3;v2_9;25
90;90;90;NA;#unklar#;3;1;%;C;OM;cmnt;unclear;%COM: cmnt unclear;29;(#unklar#);%#%;#unklar#;test3;v2_9;8
91;91;91;NA;#unclear script#;3;1;%;C;OM;cmnt;unclear script;%COM: cmnt unclear script;30;(#unclear script#);%#%;#unclear script#;test3;v2_9;16
64;64;64;NA;#unverstaendlich#;3;1;%;C;OM;cmnt;unintelligible;%COM: cmnt unintelligible;31;(#unverstaendlich#)|(unverstaendlich);%#%;#unverstaendlich#;test3;v2_9;17
65;65;65;NA;unverstaendlich;3;1;%;C;OM;cmnt;unintelligible;%COM: cmnt unintelligible;31;(#unverstaendlich#)|(unverstaendlich);%#%;unverstaendlich;test3;v2_9;15
2;2;2;6;# 9nst agmt#;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;# 9nst agmt#;test3;v2_9;12
3;3;3;17;# 9nst agmt#;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;# 9nst agmt#;test3;v2_9;12
4;4;4;76;9nst agmt;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;9nst agmt;test3;v2_9;9
5;5;5;95;9nst agmt;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;9nst agmt;test3;v2_9;9
6;6;6;141;9nst agmt;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;9nst agmt;test3;v2_9;9
7;7;7;NA;#9nst agmt.#;1;1;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;#9nst agmt\.#;test3;v2_9;12
8;8;8;NA;#9nst agmt#;1;1;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;#9nst agmt#;test3;v2_9;11
9;9;9;NA;# 9nst agmt#;1;1;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;32;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;# 9nst agmt#;test3;v2_9;12
25;25;25;NA;#9nst art#;1;1;%;N;AR;nonstandard;article;%NAR: nonstandard article;33;(#9nst art#)|(<#NAR#>)|(9nst art);%#%;#9nst art#;test3;v2_9;10
NA;NA;NA;NA;<#NAR#>;1;1;%;N;AR;nonstandard;article;%NAR: nonstandard article;33;(#9nst art#)|(<#NAR#>)|(9nst art);%#%;<#NAR#>;NA;v2_9;NA
27;27;27;NA;#9nst compar.#;1;1;%;N;CM;nonstandard;comparison;%NCM: nonstandard comparison;34;(#9nst compar\.#)|(#9nst compar#)|(9nst compar);%#%;#9nst compar\.#;test3;v2_9;14
28;28;28;NA;#9nst compar#;1;1;%;N;CM;nonstandard;comparison;%NCM: nonstandard comparison;34;(#9nst compar\.#)|(#9nst compar#)|(9nst compar);%#%;#9nst compar#;test3;v2_9;13
29;29;29;NA;#9nst conditional#;1;1;%;N;CN;nonstandard;conditional;%NCN: nonstandard conditional;35;(#9nst conditional#);%#%;#9nst conditional#;test3;v2_9;18
34;34;34;NA;#9extra art#;1;1;%;N;EA;nonstandard;extra article;%NEA: nonstandard extra article;36;(#9extra art#);%#%;#9extra art#;test3;v2_9;12
36;36;36;NA;#9nst existential#;1;1;%;N;EX;nonstandard;existential;%NEX: nonstandard existential;37;(#9nst existential#)|(9nst ext#)|(9nst ext#)|(9nst existential);%#%;#9nst existential#;test3;v2_9;18
37;37;37;NA;9nst ext#;1;9;%;N;EX;nonstandard;existential;%NEX: nonstandard existential;37;(#9nst existential#)|(9nst ext#)|(9nst ext#)|(9nst existential);%#%;9nst ext#;test3;v2_9;NA
38;38;38;NA;9nst ext#;1;1;%;N;EX;nonstandard;existential;%NEX: nonstandard existential;37;(#9nst existential#)|(9nst ext#)|(9nst ext#)|(9nst existential);%#%;9nst ext#;test3;v2_9;NA
39;39;39;11;# 9nst#;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;38;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;# 9nst#;test3;v2_9;7
40;40;40;22;# 9nst#;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;38;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;# 9nst#;test3;v2_9;7
