202;...2;...3;...4;codes;category;scheme;pre1;pre2;pre3;phrase;feature;subst;ar;regex;repl;regexcor;test;version;regxmean
41;41;41;38;9nst;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;9nst;test3;v2_9;4
42;42;42;39;9nst;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;9nst;test3;v2_9;4
43;43;43;40;9nst;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;9nst;test3;v2_9;4
44;44;44;113;9nst.;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;9nst\.;test3;v2_9;5
45;45;45;NA;#9nst#;1;1;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;#9nst#;test3;v2_9;6
46;46;46;NA;#9nst #;1;1;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;#9nst #;test3;v2_9;7
47;47;47;NA;# 9nst#;1;1;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;# 9nst#;test3;v2_9;7
48;48;48;NA;#9nst;1;1;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;#9nst;test3;v2_9;5
49;49;49;65;9double feminine, nst;1;9;%;N;GN;nonstandard;gender;%NGN: nonstandard gender;14;(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)|(9ns gen);%#%;9double feminine, nst;test3;v2_9;21
50;50;50;77;9nst gen;1;9;%;N;GN;nonstandard;gender;%NGN: nonstandard gender;14;(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)|(9ns gen);%#%;9nst gen;test3;v2_9;8
51;51;51;NA;#9nst gen#;1;1;%;N;GN;nonstandard;gender;%NGN: nonstandard gender;14;(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)|(9ns gen);%#%;#9nst gen#;test3;v2_9;10
52;52;52;NA;#9 nst gen#;1;1;%;N;GN;nonstandard;gender;%NGN: nonstandard gender;14;(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)|(9ns gen);%#%;#9 nst gen#;test3;v2_9;11
53;53;53;NA;#9nst gen;1;1;%;N;GN;nonstandard;gender;%NGN: nonstandard gender;14;(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)|(9ns gen);%#%;#9nst gen;test3;v2_9;9
54;54;54;NA;#9nst i.o.#;1;1;%;N;IO;nonstandard;i.o.;%NIO: nonstandard i.o.;15;(#9nst i\.o\.#);%#%;#9nst i\.o\.#;test3;v2_9;11
55;55;55;35;90 obj;2;9;%;0;OB;zero;object;%0OB: zero object;16;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;90 obj;test3;v2_9;6
56;56;56;121;90 obj;2;9;%;0;OB;zero;object;%0OB: zero object;16;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;90 obj;test3;v2_9;6
57;57;57;NA;#90 obj#;2;1;%;0;OB;zero;object;%0OB: zero object;16;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;#90 obj#;test3;v2_9;8
58;58;58;NA;#90 obj.#;2;1;%;0;OB;zero;object;%0OB: zero object;16;(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#)|(<#0OB#>);%#%;#90 obj\.#;test3;v2_9;9
59;59;59;59;9ck tape;3;9;%;C;OM;cmnt;check tape;%COM: cmnt check tape;17;(9ck tape)|(#check tape#);%#%;9ck tape;test3;v2_9;8
60;60;60;NA;#check tape#;3;1;%;C;OM;cmnt;check tape;%COM: cmnt check tape;17;(9ck tape)|(#check tape#);%#%;#check tape#;test3;v2_9;12
61;61;61;60;9besondere Form;3;9;%;C;OM;cmnt;form;%COM: cmnt form;18;(9besondere Form);%#%;9besondere Form;test3;v2_9;15
62;62;62;NA;#Gestik#;3;1;%;C;OM;cmnt;gesture;%COM: cmnt gesture;19;(#Gestik#);%#%;#Gestik#;test3;v2_9;8
63;63;63;NA;#innere Monolog#;3;1;%;C;OM;cmnt;inner monologue;%COM: cmnt inner monologue;20;(#innere Monolog#);%#%;#innere Monolog#;test3;v2_9;16
64;64;64;NA;#unverstaendlich#;3;1;%;C;OM;cmnt;unintelligible;%COM: cmnt unintelligible;21;(#unverstaendlich#)|(unverstaendlich);%#%;#unverstaendlich#;test3;v2_9;17
65;65;65;NA;unverstaendlich;3;1;%;C;OM;cmnt;unintelligible;%COM: cmnt unintelligible;21;(#unverstaendlich#)|(unverstaendlich);%#%;unverstaendlich;test3;v2_9;15
66;66;66;NA;#lachen#;3;1;%;C;OM;cmnt;laughter;%COM: cmnt laughter;22;(#lachen#)|(#Lachen#);%#%;#lachen#;test3;v2_9;8
67;67;67;NA;#Lachen#;3;1;%;C;OM;cmnt;laughter;%COM: cmnt laughter;22;(#lachen#)|(#Lachen#);%#%;#Lachen#;test3;v2_9;8
68;68;68;NA;#9misunderstand#;3;1;%;C;OM;cmnt;misunderstanding;%COM: cmnt misunderstanding;23;(#9misunderstand#)|(#9misunderstands#);%#%;#9misunderstand#;test3;v2_9;16
69;69;69;NA;#9misunderstands#;3;1;%;C;OM;cmnt;misunderstanding;%COM: cmnt misunderstanding;23;(#9misunderstand#)|(#9misunderstands#);%#%;#9misunderstands#;test3;v2_9;17
70;70;70;NA;"#minunderstands ""wann""?#";3;1;%;C;OM;cmnt;misunderstanding 'wann';%COM: cmnt misunderstanding 'wann';24;(#minunderstands .wann.\?#);%#%;#minunderstands .wann.\?#;test3;v2_9;NA
71;71;71;NA;"#misunderstands ""welchen""#";3;1;%;C;OM;cmnt;misunderstanding 'welchen';%COM: cmnt misunderstanding 'welchen';25;(#misunderstands .welchen.#);%#%;#misunderstands .welchen.#;test3;v2_9;NA
72;72;72;NA;#Pause#;4;2;%;P;AU;pause;NA;%PAU: pause NA;26;(#Pause#)|(…@)|(\.\.\.@)|(#\(P\)#);((...));#Pause#;test3;v2_9;7
73;73;73;NA;…@;4;1;%;P;AU;pause;NA;%PAU: pause NA;26;(#Pause#)|(…@)|(\.\.\.@)|(#\(P\)#);((...));…@;test3;v2_9;2
73;73;73;NA;...@;4;1;%;P;AU;pause;NA;%PAU: pause NA;26;(#Pause#)|(…@)|(\.\.\.@)|(#\(P\)#);((...));\.\.\.@;test3;v2_9;4
73;73;73;NA;#(P)#;4;1;%;P;AU;pause;NA;%PAU: pause NA;26;(#Pause#)|(…@)|(\.\.\.@)|(#\(P\)#);((...));#\(P\)#;test3;v2_9;5
74;74;74;NA;#? #;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#\? #;test3;v2_9;4
75;75;75;NA;# ---#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;# ---#;test3;v2_9;6
76;76;76;NA;---#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;---#;test3;v2_9;4
77;77;77;NA;#grrrrrr#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#grrrrrr#;test3;v2_9;9
78;78;78;NA;#9…#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#9…#;test3;v2_9;4
79;79;79;NA;#...#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#\.\.\.#;test3;v2_9;5
80;80;80;NA;#9..#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;27;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;#9\.\.#;test3;v2_9;5
81;81;81;63;9direct quote?@.;3;9;%;C;OM;cmnt;quote;%COM: cmnt quote;28;(9direct quote\?@\.);%#%;9direct quote\?@\.;test3;v2_9;16
82;82;82;NA;# unclear script#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;29;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;# unclear script#;test3;v2_9;17
82;82;82;NA;#unclear script#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;29;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;#unclear script#;test3;v2_9;16
82;82;82;NA;unclear script;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;29;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;unclear script;test3;v2_9;14
83;83;83;NA;#script unclear#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;29;(# unclear script#)|(#unclear script#)|(unclear script)|(#script unclear#);%#%;#script unclear#;test3;v2_9;16
